Date,Location,Aircraft,Tail number,Airline division,Aircraft damage,Fatalities,Description,Refs

1970,Saratov,An-24B,CCCP-46241,Privolzhsk,W/O,Unknown,Destroyed by fire while refuelling at Saratov Airport.,[4]
28 January 1970,Off Batagay,An-24B,CCCP-47701,Yakut,W/O,34/34,"Crashed 40 kilometres (25 mi) away from Batagay on a premature descent to the city airport, inbound from Deputatskiy Airport on a domestic scheduled passenger service.",[5]
29 January 1970,Murmansk,Tu-124V,CCCP-45083,Northern,W/O,11/38,"Crashed into a snow-covered hill, 29 kilometres (18 mi) away from Murmansk Airport, on approach, sliding down the snowy slope. Five occupants of the airplane perished immediately after impact; another six occupants died from hypothermia while awaiting for the rescue teams. The airplane was operating a domestic scheduled Leningrad–Murmansk passenger service as Flight 145.",[6]
31 January 1970,Tokmass,An-2TP,CCCP-40573,Ural,W/O,2/2,The aircraft was being ferried from Chelyabinsk to Magnitogorsk when it stalled and crashed after the crew became disorientated in an area of heavy snow and poor visibility.,[7]
6 February 1970,Samarkand,Il-18V,CCCP-75798,Uzbekistan,W/O,92/106,"Crashed into a mountain amid a cloudy scenario, 32 kilometres (20 mi) northeast of Samarkand. The aircraft was operating a domestic scheduled Tashkent-Samarkand passenger service as Flight U-45.",[8][9]
25 February 1970,Ust-Maya,Il-14M,CCCP-61637,Yakut,W/O,5/5,The aircraft was being ferried from Ust-Maya to Yakutsk when it crashed shortly after takeoff from Ust-Maya Airport following a malfunction on one of its engines during initial climbout.,[10]
26 February 1970,Beryozovo,An-12TB,CCCP-12966,North Caucasus,W/O,0,Hard landing at Beryozovo Airport.,[11]
5 March 1970,Ust-Kut,Li-2,CCCP-58340,Unknown,W/O,0,Stalled and crashed on takeoff from Ust-Kut Airport due to shifting cargo.,[12]
19 March 1970,Nikolayevo-Kozlovski,An-2R,CCCP-25598,Uzbekistan,W/O,2/2,Controlled flight into terrain. The aircraft was performing an unauthorised crop spraying mission.,[13]
1 April 1970,Toguchina,An-24B,CCCP-47751,West Siberia,W/O,45/45,"The aircraft crashed 20 kilometres (12 mi) southeast of Toguchina, after it collided with a weather balloon while en route a domestic scheduled Novosibirsk–Krasnoyarsk passenger service as Flight 1661.",[14]
4 April 1970,Zaporozhye,Avia 14M,CCCP-52002,Georgia,W/O,7/35,"Crashed on approach to Zaporozhye Airport. The crew initiated the approach prematurely and did not monitor altitude. The pilots were late in configurating the plane for landing, and came in too low. A go-around was initiated at 40 metres (130 ft). While making a right-hand turn, the wing contacted the ground, causing the plane to crash 2,500 metres (8,200 ft) from the runway and 600 metres (2,000 ft) to the left of the runway centerline. The aircraft was operating a domestic scheduled Rostov-Zaporozhye service as Flight 2903.",[15]
20 April 1970,Kuban,An-2R,CCCP-06333,North Caucasus,W/O,2/4,"The aircraft was operating fertilizer application flights for the Kuban state farm. On the seventh flight, an aircraft technician and a farm employee were on board (the employee was also in the cockpit). The co-pilot took control of the aircraft while the pilot and employee went over some maps that were to be processed. Control was lost while in a low-altitude turn. The aircraft rolled 45° and crashed.",[16]
24 April 1970,Rostov Region,An-2R,CCCP-41398,North Caucasus,W/O,0,Crashed on takeoff. The crew had not extended the flaps.,[17]
28 April 1970,Ryazan region,An-2SKh,CCCP-15935,Uzbekistan,W/O,2/2,"While crop-spraying for the ""Nekrasovo"" state farm, the aircraft went into a steep turn to avoid a power line. Altitude was lost and the aircraft crashed upside down.",[18]
10 May 1970,Irkutsk region,An-2R,CCCP-32463,East Siberia,W/O,2/3,"While crop-spraying for the ""Zavyety Ilyicha"" collective farm, the crew, who was drunk, performed a steep turn at very low altitude. The aircraft lost speed and altitude and crashed.",[19]
