Location Name,Date,Latitude,Longitude
"Nulato, Unorganized Borough, Alaska, 99765, United States",01/01/1970,64.7194444,-158.1030556
"Torino, Piemonte, Italia",01/01/1974,45.0677551,7.6824892
"مطار القيصومة, 85, القيصومة, محافظة حفر الباطن, المنطقة الشرقية, السعودية",01/01/1976,28.34587605,46.12029863114418
"Bandra, Bandra Skywalk, Garib Nagar, H/W Ward, Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400050, India",01/01/1978,19.0549792,72.8402203
"La Paz, Pedro Domingo Murillo, La Paz, Bolivia",01/01/1985,-16.4955455,-68.1336229
"Hollywood, Broward County, Florida, United States",01/01/2002,26.0112014,-80.1494901
"Parepare, Sulawesi Selatan, Sulawesi, Indonesia",01/01/2007,-4.0057055,119.6236101
"Seattle, King County, Washington, United States",01/02/1949,47.6038321,-122.330062
"Andapa, Sava, Province d'Antsiranana, 205, Madagasikara / Madagascar",01/02/1952,-14.6622706,49.6517827
"هرات, ولایت هرات, 3005, افغانستان",01/02/1954,34.3508273,62.2164003
"Tyonek, Kenai Peninsula, Alaska, 99682, United States",01/02/1969,61.0684293,-151.1409141
"Edmonton, Division No. 11, Alberta, Canada",01/02/1973,53.5462055,-113.491241
Ayiti,01/02/1980,19.1399952,-72.3570972
"عمان, ناحية عمان, لواء قصبة عمان, عمان, 11118, الأردن",01/02/1984,31.9515694,35.9239625
"Bata, Litoral, Región Continental, Guinea Ecuatorial",01/02/1987,1.82385155,9.856166243652915
"İzmir, Ege Bölgesi, Türkiye",01/02/1988,38.23166,27.02997
"Edenton, Chowan County, North Carolina, 27932, United States",01/02/1997,36.057938,-76.6077213
"Huambo, Angola",01/02/1999,-12.6076318,15.7411039
"Karkov, Emil Aarestrups Vej, Nobelparken, Aarhus, Aarhus Kommune, Region Midtjylland, 8000, Danmark",01/02/2006,56.16647225,10.196210703513657
"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",01/03/1947,-23.5506507,-46.6333824
"Taksing, Taksing Circle, Upper Subansiri District, Arunachal Pradesh, India",01/03/1960,28.4345031,93.2038913
"Kvevlax, Korsholm, Vaasan seutukunta, Österbotten, Länsi- ja Sisä-Suomen aluehallintovirasto, Manner-Suomi, 66530, Suomi / Finland",01/03/1961,63.1601789,21.8371083
"Москва, Центральный федеральный округ, Россия",01/03/1975,55.625578,37.6063916
"Thành phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam",01/03/1975,12.2431693,109.1898675
"Москва, Центральный федеральный округ, Россия",01/03/1976,55.625578,37.6063916
"Anchorage, Alaska, 99501, United States",01/03/1976,61.2163129,-149.894852
"Abidjan, Le Plateau, Abidjan, Côte d’Ivoire",01/03/1987,5.320357,-4.016107
"Gabriels, Town of Brighton, Franklin County, New York, 12939, United States",01/03/1992,44.4319972,-74.1809887
"شرم الشيخ, رأس أم سد, شبة جزيرة سيناء, 46619, مصر",01/03/2004,27.8644422,34.295447
